threads;2
Usuários;Trans Rate
1;26,68;
10;190,12;
20;215,38;
30;216,22;
40;215,47;
50;214,63;
100;121,91;
150;217,26;
200;213,01;
250;212,22;

threads;4
Usuários;Trans Rate
1;25,92;
10;178,08;
20;123,11;
30;123,28;
40;212,93;
50;122,45;
100;277,06;
150;121,33;
200;273,99;
250;121,23;

threads;8
Usuários;Trans Rate
1;29,84;
10;190,94;
20;213,70;
30;214,24;
40;122,83;
50;122,56;
100;211,66;
150;211,99;
200;210,03;
250;208,25;

threads;16
Usuários;Trans Rate
1;27,12;
10;188,32;
20;252,14;
30;122,42;
40;121,73;
50;252,30;
100;208,81;
150;121,25;
200;210,23;
250;207,51;

threads;32
Usuários;Trans Rate
1;28,21;
10;166,92;
20;208,99;
30;114,42;
40;119,28;
50;247,54;
100;269,30;
150;118,21;
200;119,13;
250;205,55;

threads;64
Usuários;Trans Rate
1;27,15;
10;140,15;
20;115,78;
30;115,25;
40;265,97;
50;115,91;
100;262,12;
150;259,40;
200;114,42;
250;263,24;

threads;128
Usuários;Trans Rate
1;26,92;
10;155,96;
20;107,39;
30;184,07;
40;107,36;
50;183,76;
100;184,34;
150;244,82;
200;107,02;
250;182,95;

threads;256
Usuários;Trans Rate
1;26,01;
10;150,78;
20;95,07;
30;95,80;
40;160,60;
50;95,49;
100;161,04;
150;94,76;
200;212,02;
250;160,83;

threads;512
Usuários;Trans Rate
1;0,00;
10;78,72;
20;79,85;
30;79,46;
40;79,63;
50;79,19;
100;78,64;
150;130,37;
200;167,39;
250;78,17;

threads;1024
Usuários;Trans Rate
1;23,39;
10;57,65;
20;92,79;
30;57,57;
40;92,17;
50;111,82;
100;57,39;
150;122,19;
200;92,93;
250;120,74;

